Expéditeur,Notes,References,Noms cités,Sujet,Titre,Date,Provenance,Destination,Destinataire,Year
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Il libretto, che si credeva perduto, sento che sia in dogana...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 148, c. 221r<br/>
</td>","Rinieri, Baccio, sec. XVII,(citato.)Viviani, Francesco, sec. XVII,(destinatario.)",Notizie di libri,Viviani Vincenzo a Viviani Francesco,2/06/1663,Roma,Firenze,Viviani Francesco,1663
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Attendo quelle misure de' quadri, e vorrei di più per la prima occasione...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 149, c. 222r<br/>
</td>","Dati, Carlo Roberto, 1619-1676,(citato.)Viviani, Francesco, sec. XVII,(destinatario.)",Notizie di libri,Viviani Vincenzo a Viviani Francesco,5/06/1663,Roma,Firenze,Viviani Francesco,1663
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Scrissi in fretta al Signor Bruto, che vi ordinasse di ammetterlo...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 150, c. 224r-v<br/>
</td>","Pampieri, sec. XVII,(citato.)Molara, Bruto della, 1639-1685,(citato.)Viviani, Francesco, sec. XVII,(destinatario.)",Argomenti privati,Viviani Vincenzo a Viviani Francesco,11/06/1663,Roma,Firenze,Viviani Francesco,1663
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Accuso la vostra de' 9 stante a vi do avviso come venendo...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 151, c. 226r<br/>
</td>","Viviani, Francesco, sec. XVII,(destinatario.)",Argomenti privati,Viviani Vincenzo a Viviani Francesco,16/06/1663,Roma,Firenze,Viviani Francesco,1663
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Lunedì prossimo doppo pranzo ci invieremo a cotesta...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 152, c. 228r<br/>
</td>","Viviani, Francesco, sec. XVII,(destinatario.)Molara, Bruto della, 1639-1685,(citato.)Magalotti, Lorenzo, 1637-1712,(citato.)Dati, Carlo Roberto, 1619-1676,(citato.)",Argomenti privati,Viviani Vincenzo a Viviani Francesco,23/06/1663,Roma,Firenze,Viviani Francesco,1663
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Le tante e strane occupazioni che d'ogni [....]mi assediano...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 153, c. 230r<br/>
</td>","Dati, Carlo Roberto, 1619-1676,(citato.)Falconieri, sec. XVII,(destinatario.)",Varia,Viviani Vincenzo a Falconieri,3/07/1663,Firenze,Roma,Falconieri,1663
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Non devo tralasciare di significare a Vostra Signoria...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 154, c. 230v<br/>
</td>","Campani, Matteo, 1620-1678,(citato.)Rinuccini, sec. XVII,(destinatario.)",Argomenti privati,Viviani Vincenzo a Rinuccini,3/07/1663,Firenze,Roma,Rinuccini,1663
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Il lunedì sera della passata settimana fu la nostra partenza di costà...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 155, c. 231r-232v<br/>
</td>","Galilei, Cosimo, 1636-1672,(destinatario.)",Argomenti privati,Viviani Vincenzo a Galilei Cosimo,3/07/1663,Firenze,Roma,Galilei Cosimo,1663
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Non vorrei che dal mio silenzio [voi] argumentate Vostra Signoria Illustrissima..""A c. 233r annotazione:""Lettere del di 17 Luglio 1663 a Roma"". Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 156, c. 234r-235r<br/>
</td>","Ricci, Alessandro, sec. XVII,(destinatario.)Medici, Leopoldo de', 1617-1675,(citato.)Dati, Carlo Roberto, 1619-1676,(citato.)Gregorio Barbarigo, santo, 1625-1697,(citato.)",Varia,Viviani Vincenzo a Ricci Alessandro,17/07/1663,Firenze,Roma,Ricci Alessandro,1663
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Già come le dissi consapevole il Serenissimo Signor Principe...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 157, c. 235v<br/>
</td>","Divini, Eustachio, 1610-1685,(destinatario.)Del Buono, Candido, 1618-1676,(citato.)Doni, Giovanni Battista, 1593-1647,(citato.)Monani, Monanzio, sec. XVII,(citato.)",Ottica,Viviani Vincenzo a Divini Eustachio,17/07/1663,Firenze,Roma,Divini Eustachio,1663
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Non si creda già, Signor Abate maestro Tommasi...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 158, c. 236r<br/>
</td>","Tommasi, sec. XVII,(destinatario.)",Argomenti privati,Viviani Vincenzo a Tommasi,17/07/1663,Firenze,,Tommasi,1663
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Quanto operasse nell'animo appassionato della Signora Sestilia...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 159, c. 236v-237r<br/>
</td>","Gregorio Barbarigo, santo, 1625-1697,(destinatario.)Galilei Bocchineri, Sestilia, m. 1669,(citato.)Torricelli, Evangelista, 1608-1647,(citato.)Galilei, Galileo, 1564-1642,(citato.)Ricci, Michelangelo, 1619-1682,(citato.)Dati, Carlo Roberto, 1619-1676,(citato.)",,Viviani Vincenzo a Barbarigo Gregorio Giovanni Gasparo,17/07/1663,Firenze,Roma,Barbarigo Gregorio Giovanni Gasparo,1663
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Riconosco da un affetto eccessivo di Vostra Signoria...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 160, c. 238r<br/>
</td>","Torricelli, Evangelista, 1608-1647,(citato.)Paolo, sec. XVII,(citato.)Lana, Francesco de, 1631-1687,(destinatario.)",Argomenti privati,Viviani Vincenzo a Lana Francesco,17/07/1663,Firenze,Roma,Lana Francesco,1663
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Volevo pure per non confondermi attendere i cenni di costà...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 161, c. 239r-v<br/>
</td>",,Argomenti letterari,Viviani Vincenzo a [non identificato],25/07/1663,Pistoia,,[non identificato],1663
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Troppo poco ha notato Vostra Signoria intorno...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 162, c. 240r-v<br/>
</td>","Ricci, Alessandro, sec. XVII,(destinatario.)",Notizie di libri,Viviani Vincenzo a Ricci Alessandro,25/08/1663,Firenze,Roma,Ricci Alessandro,1663
Viviani Vincenzo,"Tipologia: letteraIncipit: ""La tengo col signor suo Nipote,""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 163, c. 241r<br/>
</td>","Ricci, Alessandro, sec. XVII,(citato.)Langieri, Vincenzio, sec. XVII,(destinatario.)",Notizie di libri,Viviani Vincenzo a Langieri Vincenzio,25/08/1663,Firenze,,Langieri Vincenzio,1663
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Ringrazio de' fichi, dello""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 164, c. 241v<br/>
</td>","Lazari, Pier Francesco, sec. XVII,(destinatario.)",Argomenti privati,Viviani Vincenzo a Lazari Pier Francesco,25/08/1663,Firenze,Pesaro,Lazari Pier Francesco,1663
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Riponete quelle sediette sù in camera...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 165, c. 242r<br/>
</td>","Magalotti, Lorenzo, 1637-1712,(citato.)Viviani, Francesco, sec. XVII,(destinatario.)",,Viviani Vincenzo a Viviani Francesco,13/11/1663,Pian della Fonte,Firenze,Viviani Francesco,1663
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Quelle sediette un giorno di festa le porterete in monizionere...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 166, c. 243a r<br/>
</td>","Viviani, Francesco, sec. XVII,(destinatario.)",Argomenti privati,Viviani Vincenzo a Viviani Francesco,14/11/1663,Castiglion Fiorentino,Firenze,Viviani Francesco,1663
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Hiersera a hore 2 di notte arrivammo qui, sani e salvi tutti...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 167, c. 244r-v<br/>
</td>","Viviani, Francesco, sec. XVII,(destinatario.)Molara, Bruto della, 1639-1685,(citato.)Landini,(citato.)Michelini, Famiano, 1604-1665,(citato.)Agnol Cecchi, Luca d', sec. XVII,(citato.)",Argomenti privati,Viviani Vincenzo a Viviani Francesco,13/11/1663,Chiusi,Firenze,Viviani Francesco,1663
Viviani Vincenzo,"Tipologia: letteraIncipit: ""In questo punto che si spedisce huomo a posta non tralascio...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 168, c. 245r<br/>
</td>","Dati, Carlo Roberto, 1619-1676,(citato.)Magalotti, Lorenzo, 1637-1712,(destinatario.)",Argomenti privati,Viviani Vincenzo a Magalotti Lorenzo,17/11/1663,Chiusi,,Magalotti Lorenzo,1663
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Due lettere vi mandai da Levane, un' altra da Castiglion Fiorentino...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 169, c. 246r<br/>
</td>","Viviani, Francesco, sec. XVII,(destinatario.)Arrighetti, Andrea, 1592-1672,(citato.)Sampieri,(citato.)Michelozzi, Antonio, sec. XVII,(citato.)Molara, Bruto della, 1639-1685,(citato.)Gondi, Giovanni Battista, 1589-1664,(citato.)",Argomenti privati,Viviani Vincenzo a Viviani Francesco,23/11/1663,Chiusi,Firenze,Viviani Francesco,1663
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Accusovi quattro vostre de' 20, 24 e 27 del caduto...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 170, c. 248r-249r<br/>
</td>","Viviani, Francesco, sec. XVII,(destinatario.)Molara, Bruto della, 1639-1685,(citato.)Della Parte, Ciano, sec. XVII,(citato.)Magalotti, Lorenzo, 1637-1712,(citato.)Arrighetti, Andrea, 1592-1672,(citato.)",Argomenti privati,Viviani Vincenzo a Viviani Francesco,3/12/1663,Chiusi,Firenze,Viviani Francesco,1663
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Sono otto ore di notte che mi trovo finito dal tanto scrivere...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 171, c. 250r<br/>
</td>","Medici, Leopoldo de', 1617-1675,(citato.)Viviani, Francesco, sec. XVII,(destinatario.)",Argomenti privati,Viviani Vincenzo a Viviani Francesco,11/12/1663,Chiusi,Firenze,Viviani Francesco,1663
