Expéditeur,Notes,References,Noms cités,Sujet,Titre,Date,Provenance,Destination,Destinataire,Year
Roti Michele,"Tipologia: letteraIncipit: ""Nell'ultima mia lettera io mi scordai di supplicare Vostra Signoria Illustrissima ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 19, c. 28r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)Accademia delle arti del disegno (Firenze),(possessore.)",Argomenti privati,Roti Michele a Viviani Vincenzo,28/09/1680,Campestri,Firenze,Viviani Vincenzo,1680
Magalotti Lorenzo,"Tipologia: letteraIncipit: ""Lorenzo Magalotti reverisce il Suo Signor Vincenzio Viviani, e gli manda l'accluse due lettere ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 20, c. 29r-30r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Magalotti Lorenzo a Viviani Vincenzo,7/10/1680,,Firenze,Viviani Vincenzo,1680
Roti Michele,"Tipologia: letteraIncipit: ""Prima di sabato passato non ebbi la lettera di Vostra Signoria Illustrissima ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 21, c. 31r-33r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Roti Michele a Viviani Vincenzo,25/10/1680,Campestri,Firenze,Viviani Vincenzo,1680
Roti Michele,"Tipologia: letteraIncipit: ""Io sono, come si suol dire, alle peggio del sacco ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 22, c. 34r-35v<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Roti Michele a Viviani Vincenzo,21/10/1680,Campestri,Firenze,Viviani Vincenzo,1680
Roti Michele,"Tipologia: letteraIncipit: ""L'inclusa doveva esser'inviata a Vostra Signoria Illustrissima lunedi sera, ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 23, c. 36r-37v<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Roti Michele a Viviani Vincenzo,23/10/1680,Campestri,Firenze,Viviani Vincenzo,1680
Roti Michele,"Tipologia: letteraIncipit: ""Io ringrazio infinitamente Vostra Signoria Illustrissima e il Signor Luigi di quanto mi favoriscono ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 24, c. 38r-39r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Roti Michele a Viviani Vincenzo,25/10/1680,Campestri,Firenze,Viviani Vincenzo,1680
Roti Michele,"Tipologia: letteraIncipit: ""Il Signor Senatore mi favorì appresso il Signor Auditore e ricavò ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 25, c. 40r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Roti Michele a Viviani Vincenzo,31/10/1680,Campestri,Firenze,Viviani Vincenzo,1680
Panciatichi Francesco,"Tipologia: letteraIncipit: ""Si compiacerà Vostra Signoria Eccellentissima di considerare l'annesse scritture ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 26, c. 41r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Panciatichi Francesco a Viviani Vincenzo,1/12/1680,,Firenze,Viviani Vincenzo,1680
Tomati Giovanni Domenico,"Tipologia: letteraIncipit: ""Dal Signor Annibale Rilli mi è stata resa la carta favoritissima delli 26 ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 27, c. 42r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Tomati Giovanni Domenico a Viviani Vincenzo,21/12/1680,Roma,Firenze,Viviani Vincenzo,1680
Tomati Ottavio,"Tipologia: letteraIncipit: ""Il nuovo legame di affinità contratto tra me, e la casa di Vostra Signoria Illustrissima ...""Firma autografa
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 28, c. 43r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Tomati Ottavio a Viviani Vincenzo,21/12/1680,Roma,Firenze,Viviani Vincenzo,1680
