Expéditeur,Notes,References,Noms cités,Sujet,Titre,Date,Provenance,Destination,Destinataire,Year
Sampieri  Mario  1636-1686,"Tipologia: letteraIncipit: ""Solo duoi giorni sono, è restato il Signor Molara senza febre, e spera esser libero affatto...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 56, c. 97r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Sampieri Mario a Viviani Vincenzo,5/03/1667,Pisa,Firenze,Viviani Vincenzo,1667
Molara  Bruto della  1639-1685,"Tipologia: letteraIncipit: ""Il Signor Principe Cardinale mi ordinò, che da Goffredo oriolaio gli facessi fare...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 57, c. 99r<br/>
</td>","Goffredo, orologiaio, sec. XVII,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Strumenti,Molara Bruto (della) a Viviani Vincenzo,22/03/1667,Livorno,,Viviani Vincenzo,1667
Molara  Bruto della  1639-1685,"Tipologia: letteraIncipit: ""Eccomi a darli incomodi prego la sua cortesia udendo Biagio Marmi, farsi dare il mio liuto...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 58, c. 100r<br/>
</td>","Marmi, Biagio, sec. XVII,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Notizie di libri,Molara Bruto (della) a Viviani Vincenzo,22/03/1667,Pisa,Firenze,Viviani Vincenzo,1667
Del Rosso  Ottavio  sec. XVII,"Tipologia: letteraIncipit: ""Finalmente hebbi fortuna di ritrovare il Padre Galilei al quale ho consegnato i libri di Vostra Signoria...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 59, c. 102r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Notizie di libri,Del Rosso Ottavio a Viviani Vincenzo,26/03/1667,Roma,Firenze,Viviani Vincenzo,1667
Retano  Tommaso  sec. XVII,"Tipologia: letteraIncipit: ""Se le cordiali espressioni del giubilo di Vostra Signoria si risolveranno in affetti di preghiere all'Altissimo...""Firma autografa
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 60, c. 104r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Retano Tommaso a Viviani Vincenzo,26/03/1667,Roma,Firenze,Viviani Vincenzo,1667
Molara  Bruto della  1639-1685,"Tipologia: letteraIncipit: ""Dalla vostra de' 26 corrente sento quanto mi comandate circa il Signor Francesco...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 61, c. 106r-v<br/>
</td>","Girolami,(citato.)Dati, Carlo Roberto, 1619-1676,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Molara Bruto (della) a Viviani Vincenzo,7/03/1667,Pisa,,Viviani Vincenzo,1667
Molara  Bruto della  1639-1685,"Tipologia: letteraIncipit: ""Credevo che ci dovessimo rivedere domani a sera, ma un poco di accidente di infreddatura...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 62, c. 107r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)Ferdinando II, granduca di Toscana, 1610-1670,(citato.)",Argomenti privati,Molara Bruto (della) a Viviani Vincenzo,4/04/1667,Livorno,,Viviani Vincenzo,1667
Cellesi  Fabio  sec. XVII,"Tipologia: letteraIncipit: ""La risposta della sua del primo stante le dico, come le basta a Vostra Signoria la nota de' libri...""Alla lettera fa seguito a c. 109r un foglio di note spese
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 63, c. 108r-109r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Notizie di libri,Cellesi Fabio a Viviani Vincenzo,4/04/1667,Livorno,,Viviani Vincenzo,1667
Molara  Bruto della  1639-1685,"Tipologia: letteraIncipit: ""Solenizzai Dio laudato, hieri la Santa Pasqua di tornare a servire e a dormire, parendomi di esser tornato...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 64, c. 110r-v<br/>
</td>","Arrighetti, Andrea, 1592-1672,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Molara Bruto (della) a Viviani Vincenzo,11/04/1667,Parigi,,Viviani Vincenzo,1667
La Planche  de  sec. XVII,"Tipologia: letteraIncipit: ""Je me donne l'honneur d'escrire a Monsieur Carlo Dati...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 65, c. 111r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Varia,La Planche (de) a Viviani Vincenzo,14/04/1667,Parigi,Firenze,Viviani Vincenzo,1667
Manni  Federigo  sec. XVII,"Tipologia: letteraIncipit: ""Nasce qua differenza intorno all'aqua del Pescino è perchè presenta...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 66, c. 113r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Idraulica,Manni Federigo a Viviani Vincenzo,7/04/1667,,Firenze,Viviani Vincenzo,1667
Lorain  Giovanni Cristofano  sec. XVII,"Tipologia: letteraIncipit: ""Servirà questa per ricordarli primieramente la mia devota servitù et insieme darli parte...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 68, c. 115r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Lorain Giovanni Cristofano a Viviani Vincenzo,10/05/1667,,Firenze,Viviani Vincenzo,1667
Retano  Tommaso  sec. XVII,"Tipologia: letteraIncipit: ""Per mia festa et il tempo cattivo questa mattina, mi fermo per oggi e partirò solo dimani...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 69, c. 117r<br/>
</td>","Galilei, Cosimo, 1636-1672,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Notizie di libri,Retano Tommaso a Viviani Vincenzo,12/05/1667,S. Giacomo Maggiore,Firenze,Viviani Vincenzo,1667
Lorain  Giovanni Cristofano  sec. XVII,"Tipologia: letteraIncipit: ""Vengo con queste quattro righe a dedicarli di nuovo la mia servitù et insieme darli nuova del mio arrivo...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 70, c. 119r<br/>
</td>","Pollini, Alessandro, sec. XVI-XVII,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Lorain Giovanni Cristofano a Viviani Vincenzo,14/05/1667,Raab,Firenze,Viviani Vincenzo,1667
Micalori  Giovanni Battista  sec. XVII,"Tipologia: letteraIncipit: ""Mando la nota qui inclusa di quei disegni, et anche nel medesimo foglio un'altra nota di alcuni quadri...""Nella lettera si fa cenno a delle scritture di Galileo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 71, c. 121r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)Bassano, Gerolamo, 1566-1621,(citato.)Tassoni, sec. XVII,(citato.)Galilei, Galileo, 1564-1642,(citato.)",Notizie di libri,Micalori Giovanni Battista a Viviani Vincenzo,27/05/1667,Cagli,Firenze,Viviani Vincenzo,1667
La Planche  de  sec. XVII,"Tipologia: letteraIncipit: ""Je vous renvoye la lettre de change de M. Simonet suo la parolle...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 72, c. 123r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,La Planche (de) a Viviani Vincenzo,1/06/1667,Parigi,Firenze,Viviani Vincenzo,1667
Dell'Ara  Paolo  sec. XVII,"Tipologia: letteraIncipit: ""Ricevuto il plico di Vostra Signoria Illustrissima diedi in propria mano del Signor Cappellano....""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 73, c. 125r-128r<br/>
</td>","Simonet, Louis, sec. XVII,(citato.)La Planche, de, sec. XVII,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Dell'Ara Paolo a Viviani Vincenzo,3/06/1667,Parigi,,Viviani Vincenzo,1667
Molara  Bruto della  1639-1685,"Tipologia: letteraIncipit: ""Eccomi al mercordì la di cui mattina andai in mercato nuovo dove...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 74, c. 129r-130v<br/>
</td>","Medici, Leopoldo de', 1617-1675,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Molara Bruto (della) a Viviani Vincenzo,3/06/1667,Firenze,,Viviani Vincenzo,1667
